step,T,dec_input_mbit,self_kv_cache_mbit,cross_kv_mbit,enc_input_mbit,dec_ms,lm_head_ms,step_total_ms,step_wall_ms,token_id,token
21,21,0.015625,7.875000,150.375000,6.265625,3.345408,0.157696,3.503104,4.103075,11, in
22,22,0.015625,8.250000,150.375000,6.265625,3.367936,0.157888,3.525824,4.149333,10, a
23,23,0.015625,8.625000,150.375000,6.265625,3.458048,0.158720,3.616768,4.281227,1810, wide
24,24,0.015625,9.000000,150.375000,6.265625,3.617056,0.157696,3.774752,4.504256,1186, range
25,25,0.015625,9.375000,150.375000,6.265625,3.473408,0.157696,3.631104,4.516526,9, of
26,26,0.015625,9.750000,150.375000,6.265625,3.690432,0.157696,3.848128,4.567531,4510, industries
27,27,0.015625,10.125000,150.375000,6.265625,3.559136,0.157696,3.716832,4.458424,8, and
28,28,0.015625,10.500000,150.375000,6.265625,3.577856,0.156672,3.734528,4.512413,2502, application
29,29,0.015625,10.875000,150.375000,6.265625,3.335168,0.158720,3.493888,4.237874,30700, domains
30,30,0.015625,11.250000,150.375000,6.265625,3.349536,0.158720,3.508256,4.261888,4,.
31,31,0.015625,11.625000,150.375000,6.265625,3.367936,0.159456,3.527392,4.284180,22530, Traditional
32,32,0.015625,12.000000,150.375000,6.265625,3.474176,0.158720,3.632896,4.400960,3613, cloud
33,33,0.015625,12.375000,150.375000,6.265625,3.443712,0.157696,3.601408,4.381761,11730, computing
34,34,0.015625,12.750000,150.375000,6.265625,3.355648,0.162816,3.518464,4.322089,3092, models
35,35,0.015625,13.125000,150.375000,6.265625,3.537920,0.157728,3.695648,4.519789,5864, rely
36,36,0.015625,13.500000,150.375000,6.265625,3.384352,0.162752,3.547104,4.390335,15, on
37,37,0.015625,13.875000,150.375000,6.265625,3.566656,0.157760,3.724416,4.566829,1353, central
38,38,0.015625,14.250000,150.375000,6.265625,3.387392,0.158720,3.546112,4.522555,2787,izing
39,39,0.015625,14.625000,150.375000,6.265625,3.670016,0.158720,3.828736,4.982855,414, data
40,40,0.015625,15.000000,150.375000,6.265625,3.662848,0.158720,3.821568,4.944010,11, in
41,41,0.015625,15.375000,150.375000,6.265625,3.271680,0.158720,3.430400,4.464675,739, large
42,42,0.015625,15.750000,150.375000,6.265625,3.375520,0.158720,3.534240,4.584715,414, data
43,43,0.015625,16.125000,150.375000,6.265625,3.314688,0.158720,3.473408,4.609737,5228, centers
44,44,0.015625,16.500000,150.375000,6.265625,3.287072,0.157696,3.444768,4.646680,14, that
45,45,0.015625,16.875000,150.375000,6.265625,3.488768,0.158720,3.647488,4.867932,189, may
46,46,0.015625,17.250000,150.375000,6.265625,3.682304,0.158720,3.841024,5.068862,28, be
47,47,0.015625,17.625000,150.375000,6.265625,3.547136,0.157696,3.704832,4.998212,34383, geographically
48,48,0.015625,18.000000,150.375000,6.265625,3.699712,0.158720,3.858432,5.132732,444, far
49,49,0.015625,18.375000,150.375000,6.265625,3.640320,0.157696,3.798016,5.032899,31, from
50,50,0.015625,18.750000,150.375000,6.265625,3.454752,0.157696,3.612448,4.858314,253, end
51,51,0.015625,19.125000,150.375000,6.265625,3.530752,0.158720,3.689472,4.929480,1434, users
52,52,0.015625,19.500000,150.375000,6.265625,3.726560,0.158560,3.885120,5.154857,50, or
53,53,0.015625,19.875000,150.375000,6.265625,3.667968,0.158624,3.826592,5.052811,13044, IoT
54,54,0.015625,20.250000,150.375000,6.265625,3.368960,0.158592,3.527552,4.698299,2110, devices
55,55,0.015625,20.625000,150.375000,6.265625,3.277824,0.157888,3.435712,4.687359,4,.
56,56,0.015625,21.000000,150.375000,6.265625,3.346432,0.158688,3.505120,4.603506,12591, Edge
57,57,0.015625,21.375000,150.375000,6.265625,3.449856,0.157472,3.607328,4.723561,11730, computing
58,58,0.015625,21.750000,150.375000,6.265625,3.480576,0.158560,3.639136,4.805895,8480, addresses
59,59,0.015625,22.125000,150.375000,6.265625,3.745568,0.157952,3.903520,5.088970,209, these
60,60,0.015625,22.500000,150.375000,6.265625,3.582976,0.157696,3.740672,5.079864,16311, constraints
61,61,0.015625,22.875000,150.375000,6.265625,3.503104,0.158720,3.661824,5.044524,30, by
62,62,0.015625,23.250000,150.375000,6.265625,3.745728,0.159424,3.905152,5.332435,9405, placing
63,63,0.015625,23.625000,150.375000,6.265625,3.680000,0.157984,3.837984,5.288198,5774, processing
64,64,0.015625,24.000000,150.375000,6.265625,3.537920,0.158720,3.696640,5.235966,2833, units
65,65,0.015625,24.375000,150.375000,6.265625,3.737600,0.157696,3.895296,5.469710,2024, directly
66,66,0.015625,24.750000,150.375000,6.265625,3.576000,0.156672,3.732672,5.246985,624, within
67,67,0.015625,25.125000,150.375000,6.265625,3.603456,0.157696,3.761152,5.360162,50, or
68,68,0.015625,25.500000,150.375000,6.265625,3.673376,0.158720,3.832096,5.436378,12142, adjacent
69,69,0.015625,25.875000,150.375000,6.265625,3.508224,0.158720,3.666944,5.216366,7, to
70,70,0.015625,26.250000,150.375000,6.265625,3.308544,0.158688,3.467232,5.099850,5, the
71,71,0.015625,26.625000,150.375000,6.265625,3.698496,0.158720,3.857216,5.501667,2110, devices
72,72,0.015625,27.000000,150.375000,6.265625,3.598272,0.157696,3.755968,5.299787,10846, generating
73,73,0.015625,27.375000,150.375000,6.265625,3.480576,0.157568,3.638144,4.960633,414, data
74,74,0.015625,27.750000,150.375000,6.265625,3.335168,0.158720,3.493888,4.826468,4,.
75,75,0.015625,28.125000,150.375000,6.265625,3.363648,0.156672,3.520320,4.845724,85, It
76,76,0.015625,28.500000,150.375000,6.265625,3.565568,0.158720,3.724288,5.068504,13458, reduces
77,77,0.015625,28.875000,150.375000,6.265625,3.675072,0.158720,3.833792,5.275998,35940, latency
78,78,0.015625,29.250000,150.375000,6.265625,3.765248,0.158496,3.923744,5.498396,6,","
79,79,0.015625,29.625000,150.375000,6.265625,3.572608,0.157408,3.730016,5.409291,27113, bandwidth
80,80,0.015625,30.000000,150.375000,6.265625,3.483808,0.158688,3.642496,5.332013,4850, consumption
81,81,0.015625,30.375000,150.375000,6.265625,3.491840,0.158720,3.650560,5.342739,6,","
82,82,0.015625,30.750000,150.375000,6.265625,3.682176,0.158720,3.840896,5.636053,4144, privacy
83,83,0.015625,31.125000,150.375000,6.265625,3.725312,0.157696,3.883008,5.685021,6,","
84,84,0.015625,31.500000,150.375000,6.265625,3.507200,0.157600,3.664800,5.264022,8, and
85,85,0.015625,31.875000,150.375000,6.265625,3.398720,0.157696,3.556416,5.128231,588, real
86,86,0.015625,32.250000,150.375000,6.265625,3.761088,0.159616,3.920704,5.730057,12,-
87,87,0.015625,32.625000,150.375000,6.265625,3.691520,0.157888,3.849408,5.652377,958,time
88,88,0.015625,33.000000,150.375000,6.265625,3.684608,0.158720,3.843328,5.656052,568, decision
89,89,0.015625,33.375000,150.375000,6.265625,3.705856,0.158560,3.864416,5.678007,442, making
90,90,0.015625,33.750000,150.375000,6.265625,3.699648,0.157696,3.857344,5.651889,11, in
91,91,0.015625,34.125000,150.375000,6.265625,3.588096,0.157696,3.745792,5.542474,10, a
92,92,0.015625,34.500000,150.375000,6.265625,3.721120,0.158720,3.879840,5.686306,1810, wide
93,93,0.015625,34.875000,150.375000,6.265625,3.717216,0.158720,3.875936,5.695629,1186, range
94,94,0.015625,35.250000,150.375000,6.265625,3.730240,0.157696,3.887936,5.705221,9, of
95,95,0.015625,35.625000,150.375000,6.265625,3.667200,0.157696,3.824896,5.644683,4510, industries
96,96,0.015625,36.000000,150.375000,6.265625,3.691520,0.158656,3.850176,5.656584,8, and
97,97,0.015625,36.375000,150.375000,6.265625,3.674112,0.157632,3.831744,5.676587,2502, application
98,98,0.015625,36.750000,150.375000,6.265625,3.734592,0.159520,3.894112,5.713695,30700, domains
99,99,0.015625,37.125000,150.375000,6.265625,3.697664,0.158752,3.856416,5.675282,4,.
100,100,0.015625,37.500000,150.375000,6.265625,3.703808,0.158720,3.862528,5.663435,20, The
101,101,0.015625,37.875000,150.375000,6.265625,3.695616,0.157696,3.853312,5.669942,24739, proliferation
102,102,0.015625,38.250000,150.375000,6.265625,3.716096,0.157568,3.873664,5.719444,9, of
103,103,0.015625,38.625000,150.375000,6.265625,3.704064,0.159712,3.863776,5.731083,1998, fifth
104,104,0.015625,39.000000,150.375000,6.265625,3.772224,0.157408,3.929632,5.798198,12,-
105,105,0.015625,39.375000,150.375000,6.265625,3.718144,0.157696,3.875840,5.640690,11092,generation
106,106,0.015625,39.750000,150.375000,6.265625,3.771232,0.157600,3.928832,5.541493,6955, wireless
107,107,0.015625,40.125000,150.375000,6.265625,3.671168,0.157696,3.828864,5.459418,4836, networks
108,108,0.015625,40.500000,150.375000,6.265625,3.866624,0.158720,4.025344,5.680949,16, is
109,109,0.015625,40.875000,150.375000,6.265625,3.644416,0.157696,3.802112,5.559633,17604, accelerating
110,110,0.015625,41.250000,150.375000,6.265625,3.586048,0.157792,3.743840,5.448716,3543, edge
111,111,0.015625,41.625000,150.375000,6.265625,3.377120,0.157696,3.534816,5.087513,7206, adoption
112,112,0.015625,42.000000,150.375000,6.265625,3.825664,0.157696,3.983360,5.693307,4,.
113,113,0.015625,42.375000,150.375000,6.265625,3.765248,0.157568,3.922816,5.569242,85, It
114,114,0.015625,42.750000,150.375000,6.265625,3.565376,0.158624,3.724000,5.461643,1639, provides
115,115,0.015625,43.125000,150.375000,6.265625,3.504128,0.158720,3.662848,5.568349,239, high
116,116,0.015625,43.500000,150.375000,6.265625,3.481600,0.159520,3.641120,5.653012,12,-
117,117,0.015625,43.875000,150.375000,6.265625,3.720288,0.158720,3.879008,5.899800,9484,band
118,118,0.015625,44.250000,150.375000,6.265625,3.590144,0.157664,3.747808,5.802867,36097,width
119,119,0.015625,44.625000,150.375000,6.265625,3.517440,0.158720,3.676160,5.645513,6,","
120,120,0.015625,45.000000,150.375000,6.265625,3.513376,0.158592,3.671968,5.631468,614, low
121,121,0.015625,45.375000,150.375000,6.265625,3.655648,0.158688,3.814336,5.898923,12,-
122,122,0.015625,45.750000,150.375000,6.265625,3.700576,0.158720,3.859296,5.944774,12805,lat
123,123,0.015625,46.125000,150.375000,6.265625,3.512096,0.158720,3.670816,5.523794,6761,ency
124,124,0.015625,46.500000,150.375000,6.265625,3.618432,0.158720,3.777152,5.653142,10335, connectivity
125,125,0.015625,46.875000,150.375000,6.265625,3.584832,0.158720,3.743552,5.571845,956, needed
126,126,0.015625,47.250000,150.375000,6.265625,3.633152,0.158624,3.791776,5.703866,7, to
127,127,0.015625,47.625000,150.375000,6.265625,3.474432,0.158720,3.633152,5.691252,3104, link
128,128,0.015625,48.000000,150.375000,6.265625,3.486720,0.156896,3.643616,5.722407,3543, edge
129,129,0.015625,48.375000,150.375000,6.265625,3.531776,0.158720,3.690496,5.613452,32833, nodes
130,130,0.015625,48.750000,150.375000,6.265625,3.355648,0.158592,3.514240,5.270696,19, with
131,131,0.015625,49.125000,150.375000,6.265625,3.350560,0.158720,3.509280,5.299428,1353, central
132,132,0.015625,49.500000,150.375000,6.265625,3.367264,0.158720,3.525984,5.562715,1743, systems
133,133,0.015625,49.875000,150.375000,6.265625,3.267808,0.158720,3.426528,5.577217,14146, efficiently
134,134,0.015625,50.250000,150.375000,6.265625,3.415040,0.156672,3.571712,5.714601,4,.
135,135,0.015625,50.625000,150.375000,6.265625,3.508224,0.158720,3.666944,5.840086,85, It
136,136,0.015625,51.000000,150.375000,6.265625,3.524608,0.158720,3.683328,5.847745,67, also
137,137,0.015625,51.375000,150.375000,6.265625,3.499104,0.156672,3.655776,5.829426,9849, enables
138,138,0.015625,51.750000,150.375000,6.265625,3.485696,0.158624,3.644320,5.818739,3845, faster
139,139,0.015625,52.125000,150.375000,6.265625,3.477504,0.157568,3.635072,5.846373,5154, clinical
140,140,0.015625,52.500000,150.375000,6.265625,3.591168,0.157696,3.748864,5.979158,5431, alerts
141,141,0.015625,52.875000,150.375000,6.265625,3.475456,0.157696,3.633152,5.869674,77, when
142,142,0.015625,53.250000,150.375000,6.265625,3.485696,0.158592,3.644288,5.912455,36071, anomalies
143,143,0.015625,53.625000,150.375000,6.265625,3.489792,0.158720,3.648512,5.943077,32, are
144,144,0.015625,54.000000,150.375000,6.265625,3.453952,0.157696,3.611648,5.905532,12333, detected
145,145,0.015625,54.375000,150.375000,6.265625,3.482752,0.158720,3.641472,5.935718,4,.
146,146,0.015625,54.750000,150.375000,6.265625,3.494912,0.158688,3.653600,5.979495,85, It
147,147,0.015625,55.125000,150.375000,6.265625,3.575552,0.157696,3.733248,6.152734,18,'s
148,148,0.015625,55.500000,150.375000,6.265625,3.499008,0.158720,3.657728,6.102235,67, also
149,149,0.015625,55.875000,150.375000,6.265625,3.691520,0.158720,3.850240,6.297652,1903, helping
150,150,0.015625,56.250000,150.375000,6.265625,3.616768,0.158720,3.775488,6.130841,4815, hospitals
151,151,0.015625,56.625000,150.375000,6.265625,3.463456,0.158720,3.622176,5.790630,11386, deploy
152,152,0.015625,57.000000,150.375000,6.265625,3.548800,0.157696,3.706496,6.042262,16508, imaging
153,153,0.015625,57.375000,150.375000,6.265625,3.486624,0.157504,3.644128,6.052491,2104, equipment
154,154,0.015625,57.750000,150.375000,6.265625,3.488768,0.163840,3.652608,5.882013,6,","
155,155,0.015625,58.125000,150.375000,6.265625,3.368960,0.157696,3.526656,5.591400,20701, robotic
156,156,0.015625,58.500000,150.375000,6.265625,3.717120,0.158720,3.875840,5.963524,3012, surgery
157,157,0.015625,58.875000,150.375000,6.265625,3.345216,0.157696,3.502912,5.608489,1743, systems
158,158,0.015625,59.250000,150.375000,6.265625,3.551232,0.157696,3.708928,5.912238,6,","
159,159,0.015625,59.625000,150.375000,6.265625,3.747840,0.158720,3.906560,6.313035,8, and
160,160,0.015625,60.000000,150.375000,6.265625,3.287040,0.158720,3.445760,5.906020,588, real
161,161,0.015625,60.375000,150.375000,6.265625,3.287936,0.156672,3.444608,5.902842,12,-
162,162,0.015625,60.750000,150.375000,6.265625,3.283968,0.158720,3.442688,5.909690,958,time
163,163,0.015625,61.125000,150.375000,6.265625,3.276800,0.157696,3.434496,5.894264,3186, patient
164,164,0.015625,61.500000,150.375000,6.265625,3.291136,0.157888,3.449024,5.910605,4872, monitoring
165,165,0.015625,61.875000,150.375000,6.265625,3.485600,0.158720,3.644320,6.151170,4818, platforms
166,166,0.015625,62.250000,150.375000,6.265625,3.477504,0.157920,3.635424,6.137959,4,.
167,167,0.015625,62.625000,150.375000,6.265625,3.511296,0.156736,3.668032,6.202353,85, It
168,168,0.015625,63.000000,150.375000,6.265625,3.492864,0.158720,3.651584,6.156835,18,'s
169,169,0.015625,63.375000,150.375000,6.265625,3.523744,0.158720,3.682464,6.224467,67, also
170,170,0.015625,63.750000,150.375000,6.265625,3.480576,0.157696,3.638272,6.160858,10298, enabling
171,171,0.015625,64.125000,150.375000,6.265625,3.275840,0.158848,3.434688,6.001735,343, city
172,172,0.015625,64.500000,150.375000,6.265625,3.666208,0.157696,3.823904,6.425839,5990, operators
173,173,0.015625,64.875000,150.375000,6.265625,3.285152,0.156672,3.441824,6.018160,7, to
174,174,0.015625,65.250000,150.375000,6.265625,3.481600,0.157600,3.639200,6.202247,22016, optimize
175,175,0.015625,65.625000,150.375000,6.265625,3.477536,0.158720,3.636256,6.239759,1703, traffic
176,176,0.015625,66.000000,150.375000,6.265625,3.582976,0.157696,3.740672,6.362220,3041, flow
177,177,0.015625,66.375000,150.375000,6.265625,3.690560,0.157696,3.848256,6.578117,6,","
178,178,0.015625,66.750000,150.375000,6.265625,3.468288,0.157568,3.625856,6.262785,10933, detect
179,179,0.015625,67.125000,150.375000,6.265625,3.490816,0.157696,3.648512,6.296614,9960, accidents
180,180,0.015625,67.500000,150.375000,6.265625,3.459808,0.158624,3.618432,6.289816,6,","
181,181,0.015625,67.875000,150.375000,6.265625,3.483648,0.158720,3.642368,6.322698,3616, manage
182,182,0.015625,68.250000,150.375000,6.265625,3.457024,0.158560,3.615584,6.292171,1007, energy
183,183,0.015625,68.625000,150.375000,6.265625,3.477504,0.157696,3.635200,6.354486,38446, grids
184,184,0.015625,69.000000,150.375000,6.265625,3.599360,0.158720,3.758080,6.652281,6,","
185,185,0.015625,69.375000,150.375000,6.265625,3.739808,0.158720,3.898528,6.544122,8, and
186,186,0.015625,69.750000,150.375000,6.265625,3.581472,0.156672,3.738144,6.428709,18251, coordinate
187,187,0.015625,70.125000,150.375000,6.265625,3.501056,0.157472,3.658528,6.402005,285, public
188,188,0.015625,70.500000,150.375000,6.265625,3.656704,0.157632,3.814336,6.708634,518, services
189,189,0.015625,70.875000,150.375000,6.265625,3.692544,0.158720,3.851264,6.723149,444, far
190,190,0.015625,71.250000,150.375000,6.265625,3.490592,0.163840,3.654432,6.436305,55, more
191,191,0.015625,71.625000,150.375000,6.265625,3.492864,0.157696,3.650560,6.443093,14146, efficiently
192,192,0.015625,72.000000,150.375000,6.265625,3.472384,0.157568,3.629952,6.411414,87, than
193,193,0.015625,72.375000,150.375000,6.265625,3.482624,0.158656,3.641280,6.487530,3613, cloud
194,194,0.015625,72.750000,150.375000,6.265625,3.466368,0.157632,3.624000,6.431277,12,-
195,195,0.015625,73.125000,150.375000,6.265625,3.271680,0.157696,3.429376,6.220172,8338,only
196,196,0.015625,73.500000,150.375000,6.265625,3.260416,0.156672,3.417088,6.238543,2643, solutions
197,197,0.015625,73.875000,150.375000,6.265625,3.476480,0.158720,3.635200,6.498510,1157, allow
198,198,0.015625,74.250000,150.375000,6.265625,3.673088,0.158720,3.831808,6.859099,4,.
199,199,0.015625,74.625000,150.375000,6.265625,3.706016,0.158720,3.864736,6.572649,85, It
200,200,0.015625,75.000000,150.375000,6.265625,3.482624,0.163840,3.646464,6.121766,18,'s

TOTAL,200,,,150.375000,,708.780001,31.664704,740.444705,1101.599429,,
