n_llama,n_yolos,n_bart,llama32_avg_ms,yolos_avg_ms,bart_avg_ms,Llama contention,Yolos contention,Bart contention
3,1,2,15.4984,19.2708,0.9461,11.1856,13.8275,0.0058
3,1,3,14.6792,19.2709,0.9455,10.3664,13.8276,0.0052
3,1,4,16.6000,21.4353,0.9447,12.2872,15.9920,0.0044
3,1,5,16.8458,21.5134,0.9461,12.5330,16.0701,0.0058
3,2,0,17.4372,21.9575,,13.1244,16.5142,0.0000
3,2,1,16.9306,23.0565,0.9638,12.6178,17.6132,0.0235
3,2,2,17.1070,24.1321,0.9600,12.7942,18.6888,0.0197
3,2,3,17.2604,25.1692,0.9552,12.9476,19.7259,0.0149
3,2,4,18.1627,26.2834,0.9549,13.8499,20.8401,0.0146
3,2,5,18.7255,27.4202,0.9534,14.4127,21.9769,0.0131
3,3,0,19.7592,27.8889,,15.4464,22.4456,0.0000
3,3,1,20.6448,28.9688,0.9788,16.3320,23.5255,0.0385
3,3,2,19.7654,30.0367,0.9708,15.4526,24.5934,0.0305
3,3,3,21.0274,31.1444,0.9668,16.7146,25.7011,0.0265
3,3,4,19.8166,32.2860,0.9656,15.5038,26.8427,0.0253
3,3,5,22.1473,33.3752,0.9613,17.8345,27.9319,0.0210
3,4,0,22.8871,33.9678,,18.5743,28.5245,0.0000
3,4,1,22.6990,35.0389,0.9858,18.3862,29.5956,0.0455
3,4,2,23.2005,36.0773,0.9800,18.8877,30.6340,0.0397
3,4,3,24.0783,37.1205,0.9757,19.7655,31.6772,0.0354
3,4,4,23.5485,38.2184,0.9706,19.2357,32.7751,0.0303
3,4,5,24.8040,39.3142,0.9689,20.4912,33.8709,0.0286
3,5,0,25.9279,40.0070,,21.6151,34.5637,0.0000
3,5,1,25.0249,41.0760,0.9904,20.7121,35.6327,0.0501
3,5,2,26.2534,42.1537,0.9883,21.9406,36.7104,0.0480
3,5,3,27.8528,43.1844,0.9811,23.5400,37.7411,0.0408
3,5,4,27.6542,44.2665,0.9786,23.3414,38.8232,0.0383
3,5,5,28.1955,45.3496,0.9751,23.8827,39.9063,0.0348
4,0,0,15.0841,,,10.7713,0,0
4,0,1,13.9989,,0.9380,9.6861,0,0
4,0,2,15.6136,,0.9416,11.3008,0,0.0013
4,0,3,16.1807,,0.9426,11.8679,0,0.0023
4,0,4,15.1022,,0.9413,10.7894,0,0.0010
4,0,5,15.1033,,0.9404,10.7905,0,0.0001
4,1,0,19.5248,24.2110,,15.2120,18.7677,0
4,1,1,16.3470,20.7072,0.9517,12.0342,15.2639,0.0114
4,1,2,17.7022,21.7739,0.9470,13.3894,16.3306,0.0067
4,1,3,17.1822,22.8809,0.9455,12.8694,17.4376,0.0052
4,1,4,18.2315,23.9797,0.9448,13.9187,18.5364,0.0045
4,1,5,19.6070,25.1162,0.9463,15.2942,19.6729,0.0060
4,2,0,19.8512,25.5556,,15.5384,20.1123,0
4,2,1,19.3438,26.6862,0.9645,15.0310,21.2429,0.0242
4,2,2,20.1426,27.7275,0.9609,15.8298,22.2842,0.0206
4,2,3,19.5830,28.7934,0.9564,15.2702,23.3501,0.0161
4,2,4,21.2233,29.9624,0.9568,16.9105,24.5191,0.0165
4,2,5,22.8257,30.9857,0.9524,18.5129,25.5424,0.0121
4,3,0,23.4125,31.4479,,19.0997,26.0046,0
4,3,1,23.4110,32.5608,0.9734,19.0982,27.1175,0.0331
4,3,2,23.4398,33.6521,0.9693,19.1270,28.2088,0.0290
4,3,3,23.4526,34.7916,0.9665,19.1398,29.3483,0.0262
4,3,4,23.9667,35.8613,0.9624,19.6539,30.4180,0.0221
4,3,5,23.9861,36.9360,0.9602,19.6733,31.4927,0.0199
4,4,0,26.5065,37.4881,,22.1937,32.0448,0
4,4,1,27.2600,38.5213,0.9838,22.9472,33.0780,0.0435
4,4,2,25.3920,39.5835,0.9768,21.0792,34.1402,0.0365
4,4,3,25.6972,40.7184,0.9742,21.3844,35.2751,0.0339
4,4,4,27.5576,41.8031,0.9725,23.2448,36.3598,0.0322
4,4,5,28.3452,42.9155,0.9701,24.0324,37.4722,0.0298
4,5,0,30.0995,43.5810,,25.7867,38.1377,0.0000
4,5,1,27.9154,44.6175,0.9914,23.6026,39.1742,0.0511
4,5,2,28.4595,45.7079,0.9870,24.1467,40.2646,0.0467
4,5,3,28.9764,46.7604,0.9816,24.6636,41.3171,0.0413
4,5,4,30.0509,47.8156,0.9775,25.7381,42.3723,0.0372
4,5,5,29.8100,48.8647,0.9760,25.4972,43.4214,0.0357
5,0,0,18.5570,,,14.2442,0,0
5,0,1,17.3560,,0.9389,13.0432,0,0
5,0,2,18.3374,,0.9403,14.0246,0,0
5,0,3,18.4589,,0.9417,14.1461,0,0.0014
5,0,4,17.2708,,0.9402,12.9580,0,0.0000
5,0,5,17.8229,,0.9411,13.5101,0,0.0008
5,1,0,22.8297,28.8845,,18.5169,23.4412,0.0000
5,1,1,18.9476,24.2557,0.9512,14.6348,18.8124,0.0109
5,1,2,19.7179,25.3942,0.9473,15.4051,19.9509,0.0070
5,1,3,20.0366,26.4538,0.9472,15.7238,21.0105,0.0069
5,1,4,21.9031,28.5628,0.9450,17.5903,23.1195,0.0047
5,1,5,22.4388,28.7084,0.9448,18.1260,23.2651,0.0045
5,2,0,23.3283,29.1573,,19.0155,23.7140,0.0000
5,2,1,22.1558,30.2491,0.9645,17.8430,24.8058,0.0242
5,2,2,24.1935,31.2865,0.9611,19.8807,25.8432,0.0208
5,2,3,23.2185,32.4137,0.9546,18.9057,26.9704,0.0143
5,2,4,24.8472,33.4058,0.9524,20.5344,27.9625,0.0121
5,2,5,24.7429,34.4795,0.9508,20.4301,29.0362,0.0105
5,3,0,25.9081,34.9773,,21.5953,29.5340,0
5,3,1,27.0931,36.1233,0.9750,22.7803,30.6800,0.0347
5,3,2,26.3284,37.2305,0.9690,22.0156,31.7872,0.0287
5,3,3,27.3094,38.3187,0.9653,22.9966,32.8754,0.0250
5,3,4,26.7830,39.4252,0.9619,22.4702,33.9819,0.0216
5,3,5,27.7482,40.4880,0.9594,23.4354,35.0447,0.0191
5,4,0,30.4406,40.9143,,26.1278,35.4710,0
5,4,1,29.2573,42.0686,0.9798,24.9445,36.6253,0.0395
5,4,2,28.3037,43.1535,0.9789,23.9909,37.7102,0.0386
5,4,3,29.2852,44.2706,0.9737,24.9724,38.8273,0.0334
5,4,4,31.5456,45.3139,0.9705,27.2328,39.8706,0.0302
5,4,5,30.3689,46.3369,0.9660,26.0561,40.8936,0.0257
5,5,0,30.1025,47.0248,,25.7897,41.5815,0
5,5,1,31.4690,48.1070,0.9870,27.1562,42.6637,0.0467
5,5,2,33.2667,49.1972,0.9843,28.9539,43.7539,0.0440
5,5,3,31.2350,50.2990,0.9778,26.9222,44.8557,0.0375
5,5,4,33.7439,51.2877,0.9745,29.4311,45.8444,0.0342
5,5,5,33.2253,52.4499,0.9733,28.9125,47.0066,0.0330
,,,,,,,,
